sentiment,Tweet
negative,@united If you follow me I will DM you my phone # which you can call.
negative,@AmericanAir at gate c11. Your gate agents are turning paying customers away in favor of non revs
negative,"@SouthwestAir FS4VE7 when I corrected the attendants error she gave me attitude made a rude show of taking back nuts&amp; said ""well i was Late Flight"""
negative,@SouthwestAir LOST Kay Chapman Designs art-luggage for important show. Won't help locate it. Terrible customer service.
negative,"@AmericanAir @derekc21 , to my surprise  BA doesn't  have  me registered in the system , I was getting hopeful :(, Lets step it up , Okay ?"
negative,@AmericanAir Least you could do would be to refund me the one-way ticket I had to buy since you weren't able to accommodate. Thank you.
negative,"@AmericanAir Howdy, having trouble getting rebooked after flight Cancelled Flightled. Can't get thru via phone and Web erroring out. Can you help?"
negative,"“@united: @qlyss8 We don't want our customers to be frustrated. Thank you for your patience. ^JT” A lovely sentiment, but not a $180 one."
negative,@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.
negative,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal"
negative,@united I'm on snowy roads to BWI. I Just called MileagePlus &amp; told flight was Cancelled Flighted 1 1/2 hours ago. I rcvd no notification. Pls help
negative,@united you think you boarded flight AU1066 too early? I think so.
negative,@USAirways you guys straight up suck ass
negative,@AmericanAir Can't help now as all seats have been taken.  There has to be a way to handle high volume of call days.
negative,"@AmericanAir even when I did get through, no one knew anything about my bag. This is ridiculous, I still don't have my bag from Saturday."
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
negative,"@AmericanAir you bet make this screw up right (for once). Things I need in bag for my job and you have ""grounded"" me today #painandsuffering"
negative,@USAirways 4 hours on tarmac in Charleston and still can't get a response after a week. Unacceptable
negative,@USAirways testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am
negative,@united. epic fail. @reagan. no jetway. been here 15 mins on tarmac!
negative,@united I just need to get to RIC tonight. I've been in EWR for 24hrs now.
